OBJECTID;RoadType;oneway;bridge;tunnel;RestrictPedestrians;ROAD_CLASS;FREQUENCY;UNIQUE_oneway;UNIQUE_bridge;UNIQUE_tunnel;UNIQUE_RestrictPedestrians;UNIQUE_ROAD_CLASS
1;bridleway;B;F;F;N;10;13;1;1;1;1;1
2;bridleway;B;T;F;N;10;2;1;1;1;1;1
3;cycleway;B;F;F;N;10;459;1;1;1;1;1
4;cycleway;B;F;T;N;10;8;1;1;1;1;1
5;cycleway;B;T;F;N;10;32;1;1;1;1;1
6;cycleway;F;F;F;N;10;32;1;1;1;1;1
7;footway;B;F;F;N;10;26544;1;1;1;1;1
8;footway;B;F;T;N;10;76;1;1;1;1;1
9;footway;B;T;F;N;10;596;1;1;1;1;1
10;living_street;B;F;F;N;1;47603;1;1;1;1;1
11;living_street;B;F;T;N;1;1;1;1;1;1;1
12;living_street;B;T;F;N;1;23;1;1;1;1;1
13;living_street;F;F;F;N;1;4345;1;1;1;1;1
14;living_street;F;T;F;N;1;4;1;1;1;1;1
15;motorway;F;F;F;Y;2;2608;1;1;1;1;1
16;motorway;F;F;T;Y;2;154;1;1;1;1;1
17;motorway;F;T;F;Y;2;298;1;1;1;1;1
18;motorway_link;B;F;F;Y;3;49;1;1;1;1;1
19;motorway_link;B;T;F;Y;3;2;1;1;1;1;1
20;motorway_link;F;F;F;Y;3;1411;1;1;1;1;1
21;motorway_link;F;F;T;Y;3;86;1;1;1;1;1
22;motorway_link;F;T;F;Y;3;79;1;1;1;1;1
23;path;B;F;F;N;10;2228;1;1;1;1;1
24;path;B;F;T;N;10;4;1;1;1;1;1
25;path;B;T;F;N;10;48;1;1;1;1;1
26;path;F;F;F;N;10;14;1;1;1;1;1
27;pedestrian;B;F;F;N;15;676;1;1;1;1;1
28;pedestrian;B;F;T;N;15;6;1;1;1;1;1
29;pedestrian;B;T;F;N;15;14;1;1;1;1;1
30;pedestrian;F;F;F;N;15;1;1;1;1;1;1
31;primary;B;F;F;Y;6;1265;1;1;1;1;1
32;primary;B;F;T;Y;6;5;1;1;1;1;1
33;primary;B;T;F;Y;6;124;1;1;1;1;1
34;primary;F;F;F;Y;6;5032;1;1;1;1;1
35;primary;F;F;T;Y;6;27;1;1;1;1;1
36;primary;F;T;F;Y;6;190;1;1;1;1;1
37;primary_link;B;F;F;Y;3;44;1;1;1;1;1
38;primary_link;B;F;T;Y;3;1;1;1;1;1;1
39;primary_link;F;F;F;Y;3;816;1;1;1;1;1
40;primary_link;F;F;T;Y;3;9;1;1;1;1;1
41;primary_link;F;T;F;Y;3;28;1;1;1;1;1
42;residential;B;F;F;N;1;30033;1;1;1;1;1
43;residential;B;F;T;N;1;7;1;1;1;1;1
44;residential;B;T;F;N;1;128;1;1;1;1;1
45;residential;F;F;F;N;1;7659;1;1;1;1;1
46;residential;F;F;T;N;1;3;1;1;1;1;1
47;residential;F;T;F;N;1;21;1;1;1;1;1
48;residential;T;F;F;N;1;8;1;1;1;1;1
49;secondary;B;F;F;N;6;2080;1;1;1;1;1
50;secondary;B;F;T;N;6;14;1;1;1;1;1
51;secondary;B;T;F;N;6;101;1;1;1;1;1
52;secondary;F;F;F;N;6;3905;1;1;1;1;1
53;secondary;F;F;T;N;6;7;1;1;1;1;1
54;secondary;F;T;F;N;6;121;1;1;1;1;1
55;secondary_link;B;F;F;N;3;59;1;1;1;1;1
56;secondary_link;B;F;T;N;3;2;1;1;1;1;1
57;secondary_link;B;T;F;N;3;1;1;1;1;1;1
58;secondary_link;F;F;F;N;3;417;1;1;1;1;1
59;secondary_link;F;F;T;N;3;2;1;1;1;1;1
60;secondary_link;F;T;F;N;3;6;1;1;1;1;1
